schedule_season,schedule_week,schedule_playoff,team_home,team_away,spread_favorite,over_under_line,stadium,weather_temperature,weather_wind_mph,weather_humidity,team_favorite_away,team_favorite_home,total_score,did_home_team_win
0,1,0,0,0,-3.0,35.0,0,64.0,8.0,66.0,1,0,24.0,1
0,1,0,1,1,-1.0,34.0,1,72.0,9.0,81.0,1,0,29.0,0
0,1,0,2,2,-6.0,35.0,2,65.0,5.0,77.0,1,0,18.0,1
0,1,0,3,3,-3.0,42.0,3,82.0,10.0,58.0,0,1,41.0,0
0,1,0,4,4,-9.0,38.0,4,66.0,11.0,70.0,0,1,61.0,0
0,1,0,5,5,-4.0,42.0,5,73.0,8.0,74.0,0,1,47.0,1
0,1,0,6,6,-6.0,38.0,6,73.0,12.0,46.0,0,1,51.0,1
0,1,0,7,7,-4.0,45.0,7,72.0,0.0,0.0,0,1,49.0,0
0,1,0,8,8,-6.0,41.0,8,75.0,12.0,58.0,0,1,31.0,0
0,1,0,9,9,-3.0,38.0,9,76.0,11.0,51.0,0,1,33.0,1
0,1,0,10,10,-7.0,40.0,10,70.0,8.0,60.0,0,1,48.0,1
0,1,0,11,11,-2.0,45.0,11,72.0,0.0,0.0,1,0,47.0,0
0,1,0,12,12,-7.0,42.0,12,80.0,14.0,64.0,0,1,76.0,0
0,1,0,13,13,-2.0,45.0,13,78.0,9.0,46.0,0,1,20.0,0
0,2,0,14,14,-3.0,40.0,14,76.0,7.0,86.0,0,1,19.0,1
0,2,0,15,15,-7.0,40.0,15,77.0,7.0,64.0,1,0,37.0,0
0,2,0,0,16,0.0,34.0,0,68.0,13.0,92.0,0,0,30.0,1
0,2,0,16,17,-4.0,37.0,16,67.0,10.0,83.0,0,1,25.0,1
0,2,0,17,13,-2.0,40.0,17,67.0,8.0,53.0,0,1,61.0,1
0,2,0,2,4,-4.0,38.0,2,64.0,14.0,78.0,1,0,36.0,0
0,2,0,3,18,-2.0,38.0,3,68.0,9.0,66.0,0,1,33.0,0
0,2,0,18,19,-7.0,35.0,18,77.0,8.0,93.0,0,1,33.0,1
0,2,0,5,20,-4.0,40.0,5,57.0,12.0,74.0,0,1,49.0,0
0,2,0,6,5,-8.0,49.0,6,69.0,13.0,78.0,0,1,58.0,0
0,2,0,19,21,-4.0,38.0,8,74.0,12.0,81.0,1,0,44.0,0
0,2,0,20,3,-7.0,44.0,19,68.0,8.0,68.0,0,1,54.0,1
0,2,0,21,22,-3.0,42.0,20,58.0,16.0,70.0,0,1,45.0,1
0,2,0,22,10,-4.0,44.0,21,62.0,12.0,80.0,1,0,23.0,0
0,3,0,23,0,-3.0,40.0,22,77.0,8.0,88.0,0,1,37.0,0
0,3,0,16,23,-6.0,39.0,16,77.0,14.0,66.0,0,1,48.0,0
0,3,0,1,15,-7.0,39.0,1,76.0,12.0,79.0,1,0,58.0,1
0,3,0,22,24,-4.0,38.0,21,76.0,17.0,70.0,0,1,33.0,1
0,3,0,24,1,-7.0,36.0,23,86.0,19.0,58.0,0,1,45.0,1
0,3,0,17,11,-2.0,47.0,17,66.0,9.0,37.0,0,1,43.0,0
0,3,0,25,22,-7.5,42.0,24,72.0,0.0,0.0,0,1,27.0,1
0,3,0,26,8,-7.0,35.0,25,72.0,0.0,0.0,0,1,37.0,1
0,3,0,4,25,-14.0,38.0,4,67.0,9.0,70.0,0,1,72.0,1
0,3,0,7,26,-2.0,40.0,7,72.0,0.0,0.0,0,1,61.0,0
0,3,0,8,7,-5.0,39.0,8,74.0,14.0,77.0,0,1,64.0,0
0,3,0,27,21,-4.0,40.0,26,62.0,8.0,74.0,0,1,45.0,1
0,3,0,11,27,-2.0,47.0,11,72.0,0.0,0.0,0,1,68.0,0
0,3,0,9,12,-10.0,40.0,9,79.0,8.0,78.0,0,1,38.0,1
0,4,0,15,16,-4.0,38.0,15,59.0,8.0,53.0,0,1,56.0,1
0,4,0,0,3,-2.0,42.0,0,54.0,9.0,64.0,0,1,31.0,1
0,4,0,1,10,-3.0,36.0,1,58.0,6.0,68.0,1,0,23.0,0
0,4,0,25,23,-6.0,43.0,24,72.0,0.0,0.0,0,1,34.0,1
0,4,0,2,13,-10.0,42.0,2,55.0,9.0,82.0,1,0,35.0,0
0,4,0,3,11,-6.0,42.0,3,58.0,8.0,59.0,1,0,31.0,0
0,4,0,18,17,-7.0,39.0,18,85.0,10.0,72.0,0,1,37.0,1
0,4,0,19,14,-5.0,42.0,8,61.0,11.0,47.0,1,0,35.0,0
0,4,0,10,2,-13.0,39.0,10,58.0,6.0,58.0,0,1,41.0,1
0,4,0,21,5,-3.0,50.0,20,60.0,19.0,78.0,0,1,37.0,0
0,4,0,12,20,-6.0,44.0,12,63.0,7.0,64.0,1,0,38.0,1
0,4,0,14,6,-3.0,35.0,14,81.0,7.0,78.0,0,1,61.0,0
0,4,0,13,18,-4.0,42.0,13,64.0,8.0,60.0,0,1,14.0,0
0,4,0,6,9,-4.0,48.0,6,53.0,14.0,51.0,0,1,37.0,1
0,5,0,23,4,-2.0,42.0,22,60.0,12.0,70.0,1,0,71.0,1
0,5,0,22,9,-4.0,42.0,21,41.0,10.0,75.0,0,1,35.0,0
0,5,0,24,12,-12.0,42.0,23,69.0,10.0,46.0,0,1,27.0,1
0,5,0,2,19,-7.0,38.0,2,39.0,7.0,65.0,1,0,23.0,1
0,5,0,26,18,-7.0,37.0,25,72.0,0.0,0.0,0,1,33.0,0
0,5,0,4,7,-9.0,48.0,4,65.0,7.0,79.0,0,1,74.0,1
0,5,0,18,8,-1.0,36.0,18,79.0,8.0,84.0,0,1,47.0,0
0,5,0,5,15,-8.0,46.0,5,45.0,11.0,60.0,1,0,40.0,0
0,5,0,7,22,-1.0,45.0,7,72.0,0.0,0.0,1,0,47.0,0
0,5,0,8,27,-4.0,49.0,8,58.0,11.0,53.0,1,0,32.0,0
0,5,0,27,24,-7.0,39.0,26,62.0,8.0,83.0,0,1,48.0,0
0,5,0,9,21,-7.0,35.0,9,54.0,6.0,59.0,0,1,38.0,1
0,5,0,20,26,-7.0,44.0,19,68.0,10.0,82.0,0,1,50.0,0
0,5,0,16,1,-1.0,35.0,16,49.0,14.0,59.0,1,0,23.0,1
0,6,0,23,16,-7.0,46.0,22,59.0,12.0,48.0,0,1,21.0,0
0,6,0,0,8,-3.0,40.0,0,49.0,12.0,74.0,0,1,29.0,0
0,6,0,24,7,-9.0,48.0,23,64.0,7.0,37.0,0,1,73.0,1
0,6,0,25,17,-11.0,45.0,24,72.0,0.0,0.0,0,1,37.0,1
0,6,0,3,10,-4.0,36.0,3,50.0,6.0,44.0,1,0,41.0,1
0,6,0,5,2,-3.0,38.0,5,38.0,7.0,62.0,0,1,20.0,1
0,6,0,6,0,-7.0,43.0,6,58.0,14.0,71.0,0,1,34.0,1
0,6,0,19,20,-8.0,41.0,8,57.0,16.0,61.0,1,0,47.0,0
0,6,0,27,11,-6.0,45.0,26,62.0,8.0,78.0,1,0,62.0,1
0,6,0,10,19,-13.0,40.0,10,44.0,13.0,71.0,0,1,33.0,0
0,6,0,11,6,-4.0,40.0,11,72.0,0.0,0.0,0,1,30.0,0
0,6,0,12,14,-3.0,49.0,12,49.0,10.0,54.0,1,0,34.0,0
0,6,0,14,25,-8.0,36.0,14,73.0,7.0,66.0,0,1,28.0,0
0,6,0,17,21,-6.0,35.0,17,61.0,10.0,33.0,0,1,37.0,1
0,7,0,15,27,-3.0,43.0,15,62.0,7.0,72.0,0,1,58.0,0
0,7,0,16,4,-3.0,40.0,16,47.0,13.0,58.0,1,0,31.0,1
0,7,0,1,23,-4.0,36.0,1,49.0,10.0,74.0,0,1,14.0,1
0,7,0,22,25,-9.0,37.0,21,46.0,12.0,66.0,0,1,47.0,1
0,7,0,17,24,-4.0,40.0,17,49.0,8.0,34.0,0,1,40.0,0
0,7,0,26,1,-9.0,34.0,25,72.0,0.0,0.0,0,1,34.0,1
0,7,0,18,26,-2.0,35.0,18,80.0,8.0,72.0,1,0,31.0,1
0,7,0,7,5,-3.0,44.0,7,72.0,0.0,0.0,1,0,55.0,0
0,7,0,8,18,-2.0,38.0,8,62.0,14.0,70.0,0,1,44.0,0
0,7,0,9,13,-3.0,41.0,9,61.0,9.0,76.0,0,1,27.0,1
0,7,0,20,12,-15.0,47.0,19,67.0,9.0,44.0,0,1,51.0,1
0,7,0,21,14,-9.0,50.0,20,55.0,11.0,76.0,1,0,48.0,0
0,7,0,13,22,-4.0,39.0,13,66.0,9.0,74.0,0,1,23.0,1
0,7,0,10,3,-10.0,45.0,10,42.0,12.0,71.0,0,1,79.0,0
0,8,0,23,14,-3.0,43.0,22,48.0,11.0,64.0,1,0,23.0,1
0,8,0,15,22,-8.0,41.0,15,45.0,24.0,47.0,0,1,27.0,0
0,8,0,0,27,-2.0,42.0,0,41.0,26.0,71.0,1,0,44.0,1
0,8,0,22,15,-3.0,44.0,21,37.0,25.0,54.0,1,0,53.0,1
0,8,0,24,11,-2.0,45.0,23,55.0,9.0,59.0,0,1,73.0,1
0,8,0,2,23,-1.0,36.0,2,35.0,16.0,54.0,0,1,19.0,1
0,8,0,26,19,-6.0,35.0,25,72.0,0.0,0.0,0,1,26.0,1
0,8,0,3,4,-3.0,40.0,3,37.0,10.0,63.0,0,1,37.0,1
0,8,0,19,9,-6.0,40.0,8,47.0,30.0,62.0,1,0,23.0,0
0,8,0,27,18,-4.0,44.0,26,57.0,7.0,82.0,0,1,47.0,1
0,8,0,9,2,-7.0,34.0,9,45.0,21.0,60.0,0,1,31.0,1
0,8,0,21,1,-2.0,45.0,20,56.0,11.0,72.0,1,0,47.0,0
0,8,0,13,17,-10.0,38.0,13,49.0,21.0,43.0,0,1,36.0,1
0,8,0,8,0,-1.0,37.0,8,47.0,21.0,52.0,0,1,31.0,1
0,9,0,0,5,-4.0,41.0,0,40.0,9.0,59.0,0,1,44.0,0
0,9,0,1,11,-3.0,43.0,1,42.0,6.0,58.0,1,0,45.0,0
0,9,0,17,10,-4.0,37.0,17,54.0,11.0,21.0,1,0,36.0,0
0,9,0,25,7,-9.0,42.0,24,72.0,0.0,0.0,0,1,30.0,1
0,9,0,3,8,-1.0,39.0,3,51.0,10.0,52.0,0,1,55.0,0
0,9,0,4,17,-14.0,45.0,4,65.0,7.0,48.0,0,1,76.0,1
0,9,0,6,16,-9.0,43.0,6,40.0,15.0,46.0,0,1,55.0,1
0,9,0,27,0,-7.0,42.0,26,58.0,6.0,56.0,0,1,26.0,1
0,9,0,10,25,-13.0,41.0,10,40.0,6.0,58.0,0,1,42.0,1
0,9,0,11,20,-2.0,38.0,11,72.0,0.0,0.0,1,0,47.0,0
0,9,0,12,13,-5.0,42.0,12,49.0,12.0,59.0,1,0,51.0,0
0,9,0,14,12,-7.0,39.0,14,67.0,8.0,70.0,0,1,43.0,1
0,9,0,13,23,-9.0,33.0,13,50.0,15.0,45.0,0,1,53.0,0
0,9,0,22,2,-5.0,40.0,21,48.0,15.0,44.0,0,1,48.0,1
0,10,0,15,6,-4.0,42.0,15,52.0,6.0,66.0,0,1,55.0,0
0,10,0,16,21,-3.0,34.0,16,58.0,15.0,52.0,0,1,56.0,1
0,10,0,2,7,-3.0,42.0,2,51.0,17.0,63.0,0,1,39.0,1
0,10,0,4,0,-11.0,41.0,4,59.0,6.0,82.0,0,1,49.0,0
0,10,0,5,4,-2.0,39.0,5,45.0,15.0,64.0,0,1,34.0,1
0,10,0,7,20,-9.0,43.0,7,72.0,0.0,0.0,1,0,55.0,0
0,10,0,19,13,-10.0,44.0,8,44.0,12.0,66.0,1,0,73.0,1
0,10,0,8,26,-4.0,38.0,8,44.0,12.0,66.0,1,0,55.0,0
0,10,0,27,19,-7.0,42.0,26,57.0,5.0,80.0,0,1,45.0,1
0,10,0,20,9,-9.0,45.0,19,61.0,6.0,86.0,0,1,33.0,0
0,10,0,11,24,-3.0,40.0,11,72.0,0.0,0.0,0,1,61.0,0
0,10,0,12,5,-1.0,43.0,12,66.0,17.0,45.0,1,0,60.0,0
0,10,0,14,15,-7.0,43.0,14,74.0,6.0,78.0,1,0,45.0,0
0,10,0,26,27,-3.0,43.0,25,72.0,0.0,0.0,0,1,72.0,1
0,11,0,23,17,-12.0,46.0,22,60.0,11.0,90.0,0,1,44.0,1
0,11,0,16,10,-3.0,35.0,16,35.0,6.0,71.0,1,0,16.0,0
0,11,0,1,26,-2.0,36.0,1,34.0,11.0,86.0,1,0,14.0,0
0,11,0,24,22,-9.0,44.0,23,44.0,18.0,82.0,0,1,52.0,1
0,11,0,17,16,-6.0,40.0,17,24.0,5.0,75.0,0,1,55.0,1
0,11,0,25,8,-2.0,41.0,24,72.0,0.0,0.0,1,0,19.0,0
0,11,0,18,7,-8.0,43.0,18,77.0,9.0,90.0,0,1,30.0,1
0,11,0,5,1,-4.0,37.0,5,35.0,7.0,64.0,0,1,68.0,1
0,11,0,6,14,-3.0,48.0,6,34.0,14.0,46.0,0,1,31.0,0
0,11,0,19,25,-2.0,41.0,8,40.0,15.0,53.0,1,0,48.0,1
0,11,0,10,6,-6.0,44.0,10,36.0,8.0,59.0,0,1,29.0,1
0,11,0,20,24,-8.0,46.0,19,60.0,8.0,37.0,0,1,27.0,1
0,11,0,13,20,-6.0,38.0,13,45.0,16.0,70.0,1,0,24.0,0
0,11,0,11,3,-3.0,45.0,11,72.0,0.0,0.0,1,0,36.0,0
0,12,0,18,11,-4.0,40.0,18,64.0,12.0,72.0,1,0,51.0,0
0,12,0,23,2,-7.0,38.0,22,47.0,15.0,62.0,0,1,45.0,1
0,12,0,0,15,-2.0,42.0,0,41.0,10.0,49.0,1,0,41.0,1
0,12,0,22,19,-7.0,37.0,21,40.0,13.0,59.0,0,1,38.0,1
0,12,0,24,21,-12.0,42.0,23,47.0,8.0,93.0,0,1,24.0,1
0,12,0,17,18,-4.0,40.0,17,34.0,10.0,70.0,0,1,56.0,1
0,12,0,5,25,-7.0,38.0,5,39.0,14.0,58.0,0,1,38.0,0
0,12,0,6,8,-6.0,45.0,6,39.0,8.0,63.0,0,1,68.0,1
0,12,0,8,10,-6.0,40.0,8,42.0,9.0,59.0,1,0,59.0,1
0,12,0,9,3,-6.0,43.0,9,37.0,5.0,69.0,0,1,17.0,1
0,12,0,21,12,-3.0,47.0,20,56.0,11.0,84.0,0,1,12.0,1
0,12,0,12,24,-2.0,42.0,12,45.0,11.0,83.0,0,1,34.0,0
0,12,0,14,4,-3.0,39.0,14,69.0,9.0,77.0,0,1,34.0,0
0,12,0,7,14,-10.0,47.0,7,72.0,0.0,0.0,1,0,34.0,0
0,13,0,24,18,-10.0,48.0,23,40.0,14.0,70.0,0,1,58.0,1
0,13,0,25,2,-3.0,36.0,24,72.0,0.0,0.0,0,1,40.0,0
0,13,0,23,21,-10.0,40.0,22,44.0,8.0,45.0,0,1,16.0,1
0,13,0,15,26,-3.0,40.0,15,43.0,14.0,52.0,1,0,52.0,1
0,13,0,2,1,-4.0,38.0,2,37.0,16.0,65.0,0,1,37.0,0
0,13,0,26,6,-3.0,39.0,25,72.0,0.0,0.0,0,1,31.0,0
0,13,0,3,19,-7.0,36.0,3,49.0,19.0,45.0,0,1,26.0,0
0,13,0,4,16,-10.0,45.0,4,59.0,7.0,82.0,0,1,51.0,1
0,13,0,7,23,-6.0,42.0,7,72.0,0.0,0.0,1,0,43.0,0
0,13,0,19,22,-2.0,43.0,8,39.0,18.0,65.0,1,0,30.0,0
0,13,0,10,0,-6.0,41.0,10,36.0,14.0,74.0,0,1,33.0,1
0,13,0,20,20,-3.0,42.0,19,61.0,6.0,81.0,0,1,43.0,1
0,13,0,21,27,-7.0,48.0,20,56.0,8.0,76.0,1,0,38.0,1
0,13,0,27,9,-5.0,42.0,26,51.0,6.0,79.0,0,1,12.0,1
0,14,0,26,15,-2.0,40.0,25,72.0,0.0,0.0,0,1,6.0,1
0,14,0,0,14,0.0,40.0,0,43.0,9.0,83.0,0,0,17.0,1
0,14,0,16,25,-6.0,35.0,16,56.0,10.0,90.0,0,1,68.0,1
0,14,0,1,8,-2.0,38.0,1,58.0,12.0,70.0,1,0,67.0,1
0,14,0,22,16,-9.0,43.0,21,54.0,11.0,83.0,0,1,31.0,1
0,14,0,3,9,-2.0,39.0,3,39.0,11.0,82.0,1,0,45.0,1
0,14,0,27,13,-2.0,45.0,26,48.0,8.0,62.0,1,0,32.0,0
0,14,0,9,5,-6.0,40.0,9,46.0,7.0,46.0,0,1,37.0,0
0,14,0,21,17,-7.0,46.0,20,48.0,12.0,53.0,0,1,73.0,1
0,14,0,11,12,-7.0,43.0,11,72.0,0.0,0.0,0,1,48.0,0
0,14,0,12,4,-2.0,40.0,12,62.0,12.0,86.0,0,1,47.0,1
0,14,0,14,23,-2.0,39.0,14,64.0,7.0,72.0,0,1,31.0,0
0,14,0,13,11,-7.0,40.0,13,54.0,7.0,65.0,1,0,57.0,1
0,14,0,18,27,-3.0,43.0,18,75.0,16.0,58.0,1,0,29.0,1
0,15,0,20,18,-11.0,46.0,19,60.0,6.0,48.0,0,1,35.0,1
0,15,0,13,12,-7.0,39.0,13,49.0,12.0,61.0,0,1,29.0,1
0,15,0,23,7,-9.0,45.0,22,45.0,14.0,52.0,0,1,45.0,1
0,15,0,15,0,-3.0,40.0,15,37.0,16.0,46.0,0,1,38.0,0
0,15,0,16,19,-6.0,35.0,16,27.0,14.0,60.0,0,1,31.0,0
0,15,0,17,3,-3.0,38.0,17,41.0,9.0,37.0,1,0,45.0,0
0,15,0,25,1,-6.0,39.0,24,72.0,0.0,0.0,0,1,41.0,1
0,15,0,2,10,-6.0,37.0,2,19.0,14.0,51.0,1,0,25.0,0
0,15,0,5,6,-3.0,39.0,5,23.0,12.0,52.0,1,0,51.0,1
0,15,0,6,26,-3.0,42.0,6,28.0,15.0,55.0,0,1,26.0,1
0,15,0,8,17,-7.0,46.0,8,31.0,21.0,59.0,0,1,41.0,0
0,15,0,9,22,-9.0,39.0,9,34.0,15.0,51.0,0,1,20.0,1
0,15,0,10,24,-8.0,41.0,10,26.0,17.0,63.0,0,1,37.0,1
0,15,0,4,13,-2.0,46.0,4,60.0,5.0,40.0,1,0,52.0,1
0,16,0,18,16,-6.0,40.0,18,69.0,12.0,61.0,0,1,41.0,0
0,16,0,14,2,-1.0,35.0,14,59.0,8.0,72.0,1,0,27.0,0
0,16,0,15,24,-3.0,42.0,15,18.0,9.0,51.0,0,1,66.0,0
0,16,0,1,6,-3.0,38.0,1,14.0,7.0,62.0,1,0,51.0,0
0,16,0,24,20,-5.0,42.0,23,28.0,9.0,50.0,0,1,62.0,1
0,16,0,25,25,-6.0,38.0,24,72.0,0.0,0.0,0,1,27.0,1
0,16,0,26,23,-10.0,37.0,25,72.0,0.0,0.0,0,1,36.0,1
0,16,0,4,5,-3.0,44.0,4,57.0,7.0,79.0,0,1,37.0,1
0,16,0,7,27,-9.0,48.0,7,72.0,0.0,0.0,1,0,65.0,0
0,16,0,19,3,-8.0,42.0,8,19.0,16.0,58.0,1,0,50.0,0
0,16,0,21,26,-6.0,42.0,20,53.0,6.0,82.0,1,0,31.0,0
0,16,0,11,9,-2.0,42.0,11,72.0,0.0,0.0,0,1,42.0,0
0,16,0,12,21,-2.0,38.0,12,15.0,7.0,54.0,0,1,38.0,0
0,16,0,20,15,-4.0,44.0,19,57.0,7.0,87.0,0,1,43.0,1
0,21,1,27,20,-3.0,37.5,7,72.0,0.0,0.0,1,0,37.0,1
1,1,0,14,23,-1.0,37.0,14,81.0,8.0,74.0,0,1,34.0,1
1,1,0,23,17,-10.0,45.0,22,77.0,8.0,76.0,0,1,27.0,1
1,1,0,0,16,-4.0,41.0,0,66.0,8.0,94.0,0,1,31.0,1
1,1,0,16,25,-4.0,37.0,16,63.0,8.0,84.0,0,1,25.0,0
1,1,0,1,18,-4.0,41.0,1,69.0,8.0,71.0,0,1,48.0,1
1,1,0,17,3,-3.0,38.0,17,67.0,9.0,58.0,1,0,16.0,1
1,1,0,25,7,-4.0,40.0,24,72.0,0.0,0.0,0,1,41.0,1
1,1,0,4,10,-6.0,38.0,4,69.0,9.0,73.0,0,1,47.0,0
1,1,0,6,8,-6.0,45.0,6,62.0,10.0,79.0,0,1,57.0,0
1,1,0,19,20,-6.0,38.0,8,70.0,11.0,64.0,1,0,34.0,0
1,1,0,10,24,-10.0,37.0,10,67.0,4.0,81.0,0,1,70.0,0
1,1,0,12,0,0.0,38.0,12,71.0,4.0,71.0,0,0,27.0,0
1,1,0,13,13,-2.0,38.0,13,75.0,8.0,80.0,1,0,36.0,0
1,1,0,22,11,-2.0,45.0,21,66.0,6.0,80.0,0,1,58.0,0
1,2,0,18,15,-2.0,41.0,18,81.0,10.0,80.0,0,1,40.0,1
1,2,0,15,26,-2.0,43.0,15,78.0,7.0,61.0,1,0,38.0,0
1,2,0,22,10,-4.0,43.0,21,72.0,8.0,73.0,0,1,12.0,0
1,2,0,24,22,-10.0,41.0,23,82.0,9.0,62.0,0,1,47.0,1
1,2,0,2,5,-4.0,39.0,2,65.0,8.0,73.0,1,0,48.0,0
1,2,0,3,1,-3.0,38.0,3,74.0,4.0,66.0,0,1,29.0,1
1,2,0,7,14,-6.0,40.0,7,72.0,0.0,0.0,1,0,40.0,1
1,2,0,8,19,-3.5,42.0,8,75.0,16.0,50.0,0,1,61.0,0
1,2,0,9,27,-3.5,39.0,9,74.0,6.0,68.0,0,1,16.0,1
1,2,0,20,4,-7.0,43.0,19,73.0,11.0,81.0,0,1,51.0,1
1,2,0,21,2,0.0,41.0,20,62.0,12.0,70.0,0,0,45.0,1
1,2,0,11,9,0.0,41.0,11,72.0,0.0,0.0,0,0,23.0,1
1,2,0,13,12,-6.0,37.0,13,81.0,7.0,63.0,0,1,24.0,0
1,2,0,5,3,-2.0,41.0,5,66.0,13.0,48.0,1,0,46.0,0
1,3,0,0,20,-4.0,38.0,0,55.0,8.0,83.0,0,1,34.0,0
1,3,0,23,7,-9.0,41.0,22,61.0,8.0,65.0,0,1,51.0,1
1,3,0,16,1,-3.0,35.0,16,58.0,8.0,68.0,0,1,45.0,1
1,3,0,1,6,-1.0,41.0,1,63.0,14.0,59.0,0,1,37.0,0
1,3,0,17,8,-3.0,36.0,17,70.0,10.0,25.0,0,1,38.0,1
1,3,0,26,0,-3.0,37.0,25,72.0,0.0,0.0,0,1,26.0,0
1,3,0,3,11,-4.0,41.0,3,68.0,14.0,54.0,1,0,73.0,0
